,graph_name,imp_failed,paper_fail,answers_match,Z_sols_match,improved_time,imp_time,paper_time,time_difference,imp_obj,paper_obj,imp_X_sol,paper_X_sol,imp_Y_sol,paper_Y_sol,imp_Z_sol,paper_Z_sol
001,rndgraph12-40_1-1-1_001,False,no,yes,True,False,0.988,0.411,0.577,3,3,{12},[4],{1},[24],[21],[21]
002,rndgraph12-40_1-1-1_002,False,no,yes,True,True,7.298,8.56,-1.262,3,3,{16},[16],{19},[19],[21],[21]
003,rndgraph12-40_1-1-1_003,False,no,yes,False,False,0.722,0.506,0.216,3,3,{8},[34],{1},[32],[27],[36]
004,rndgraph12-40_1-1-1_004,False,no,yes,True,True,0.683,2.985,-2.302,3,3,{24},[24],{16},[16],[31],[31]
005,rndgraph12-40_1-1-1_005,False,no,yes,False,True,0.743,0.958,-0.215,3,3,{3},[13],{1},[11],[28],[3]
006,rndgraph12-40_1-1-1_006,False,no,yes,False,True,0.718,1.371,-0.653,3,3,{31},[5],{2},[31],[1],[2]
007,rndgraph12-40_1-1-1_007,False,no,NO,True,True,0.697,1.156,-0.459,5,4,{16},[16],{2},[2],[39],[39]
008,rndgraph12-40_1-1-1_008,False,no,yes,False,False,2.24,1.289,0.951,4,4,{5},[35],{1},[11],[40],[34]
009,rndgraph12-40_1-1-1_009,False,no,yes,False,True,0.74,0.894,-0.154,3,3,{4},[38],{1},[18],[9],[30]
010,rndgraph12-40_1-1-1_010,False,no,yes,True,True,1.082,1.4,-0.318,4,4,{14},[14],{11},[11],[36],[36]
011,rndgraph12-40_1-1-1_011,False,no,yes,False,False,1.543,0.719,0.824,3,3,{15},[30],{39},[19],[19],[39]
012,rndgraph12-40_1-1-1_012,False,no,NO,True,True,0.936,1.292,-0.356,4,3,{38},[38],{36},[36],[16],[16]
013,rndgraph12-40_1-1-1_013,False,no,yes,False,True,2.087,3.457,-1.37,3,3,{15},[11],{31},[28],[11],[36]
014,rndgraph12-40_1-1-1_014,False,no,yes,False,True,0.702,1.364,-0.662,5,5,{14},[5],{27},[2],[2],[27]
015,rndgraph12-40_1-1-1_015,False,no,NO,False,True,1.028,1.421,-0.393,3,2,{30},[19],{37},[5],[5],[37]
016,rndgraph12-40_1-1-1_016,False,no,yes,False,True,0.762,1.003,-0.241,4,4,{2},[32],{1},[7],[32],[4]
017,rndgraph12-40_1-1-1_017,False,no,yes,False,False,0.721,0.45,0.271,3,3,{15},[24],{1},[8],[8],[15]
018,rndgraph12-40_1-1-1_018,False,no,yes,False,False,0.573,0.432,0.141,3,3,{6},[20],{1},[6],[29],[25]
019,rndgraph12-40_1-1-1_019,False,no,yes,True,True,0.613,0.755,-0.142,5,5,{20},[1],{1},[26],[30],[30]
020,rndgraph12-40_1-1-1_020,False,no,yes,False,False,11.542,11.216,0.326,2,2,{5},[7],{14},[28],[22],[13]
