,graph_name,imp_failed,paper_fail
001,rndgraph05-40_2-2-2_001,False,no
002,rndgraph05-40_2-2-2_002,False,no
003,rndgraph05-40_2-2-2_003,False,no
004,rndgraph05-40_2-2-2_004,False,no
005,rndgraph05-40_2-2-2_005,False,no
006,rndgraph05-40_2-2-2_006,False,no
007,rndgraph05-40_2-2-2_007,False,no
008,rndgraph05-40_2-2-2_008,False,no
009,rndgraph05-40_2-2-2_009,False,no
010,rndgraph05-40_2-2-2_010,False,no
011,rndgraph05-40_2-2-2_011,False,no
012,rndgraph05-40_2-2-2_012,False,no
013,rndgraph05-40_2-2-2_013,False,no
014,rndgraph05-40_2-2-2_014,False,no
015,rndgraph05-40_2-2-2_015,False,no
016,rndgraph05-40_2-2-2_016,False,no
017,rndgraph05-40_2-2-2_017,False,no
018,rndgraph05-40_2-2-2_018,False,no
019,rndgraph05-40_2-2-2_019,False,no
020,rndgraph05-40_2-2-2_020,False,no
