,graph_name,imp_failed,paper_fail,answers_match,Z_sols_match,improved_time,imp_time,paper_time,time_difference,imp_obj,paper_obj,imp_X_sol,paper_X_sol,imp_Y_sol,paper_Y_sol,imp_Z_sol,paper_Z_sol
001,rndgraph07-40_2-2-2_001,False,no,yes,False,True,5.674,8.988,-3.314,15,15,"{26, 22}","[26, 32]","{8, 12}","[18, 31]","[16, 31]","[12, 16]"
002,rndgraph07-40_2-2-2_002,False,no,NO,False,False,135.042,76.862,58.18,13,11,"{24, 17}","[14, 39]","{8, 33}","[20, 21]","[19, 25]","[25, 33]"
003,rndgraph07-40_2-2-2_003,False,no,NO,False,True,17.511,25.024,-7.513,14,13,"{40, 10}","[5, 37]","{5, 30}","[18, 20]","[1, 37]","[26, 36]"
004,rndgraph07-40_2-2-2_004,False,no,NO,True,False,40.399,27.914,12.485,16,14,"{34, 37}","[7, 10]","{28, 6}","[12, 23]","[1, 18]","[1, 18]"
005,rndgraph07-40_2-2-2_005,False,no,NO,True,False,25.361,18.468,6.893,14,12,"{11, 22}","[11, 22]","{2, 21}","[2, 4]","[1, 19]","[1, 19]"
006,rndgraph07-40_2-2-2_006,False,no,NO,True,False,14.949,11.894,3.055,18,16,"{24, 35}","[26, 35]","{32, 14}","[10, 24]","[25, 30]","[25, 30]"
007,rndgraph07-40_2-2-2_007,False,no,NO,False,False,355.327,16.373,338.954,12,10,"{22, 23}","[11, 35]","{40, 14}","[1, 6]","[1, 3]","[3, 23]"
008,rndgraph07-40_2-2-2_008,False,no,NO,True,False,12.361,6.139,6.222,15,14,"{13, 7}","[7, 13]","{35, 15}","[29, 35]","[5, 23]","[5, 23]"
009,rndgraph07-40_2-2-2_009,False,no,yes,True,True,60.342,86.963,-26.621,13,13,"{10, 26}","[19, 22]","{8, 24}","[10, 39]","[6, 12]","[6, 12]"
010,rndgraph07-40_2-2-2_010,False,no,NO,True,True,2.891,6.685,-3.794,17,12,"{24, 21}","[1, 21]","{25, 27}","[15, 27]","[2, 9]","[2, 9]"
011,rndgraph07-40_2-2-2_011,False,no,NO,True,False,6.564,2.348,4.216,16,14,"{28, 21}","[10, 26]","{33, 35}","[12, 28]","[9, 37]","[9, 37]"
012,rndgraph07-40_2-2-2_012,False,no,yes,True,True,74.41,99.852,-25.442,13,13,"{10, 23}","[10, 23]","{26, 36}","[26, 36]","[1, 14]","[1, 14]"
013,rndgraph07-40_2-2-2_013,False,no,NO,True,False,5.689,5.16,0.529,17,14,"{1, 20}","[1, 20]","{16, 33}","[16, 33]","[36, 40]","[36, 40]"
014,rndgraph07-40_2-2-2_014,False,no,yes,False,True,54.924,61.353,-6.429,12,12,"{40, 26}","[34, 40]","{16, 34}","[15, 20]","[15, 35]","[9, 14]"
015,rndgraph07-40_2-2-2_015,False,no,NO,True,False,27.173,19.802,7.371,13,11,"{25, 6}","[2, 6]","{32, 30}","[5, 32]","[11, 38]","[11, 38]"
016,rndgraph07-40_2-2-2_016,False,no,NO,True,False,16.468,6.159,10.309,14,12,"{8, 34}","[5, 8]","{16, 30}","[10, 16]","[2, 25]","[2, 25]"
017,rndgraph07-40_2-2-2_017,False,no,NO,True,False,12.188,4.443,7.745,16,13,"{11, 5}","[5, 11]","{1, 2}","[13, 28]","[12, 32]","[12, 32]"
018,rndgraph07-40_2-2-2_018,False,no,NO,False,True,3.592,6.347,-2.755,15,14,"{20, 38}","[14, 38]","{8, 7}","[30, 37]","[2, 30]","[2, 8]"
019,rndgraph07-40_2-2-2_019,False,no,NO,True,True,3.974,7.24,-3.266,17,16,"{32, 20}","[20, 32]","{2, 15}","[2, 39]","[17, 29]","[17, 29]"
020,rndgraph07-40_2-2-2_020,False,no,yes,True,True,4.087,58.21,-54.123,13,13,"{32, 26}","[26, 32]","{1, 11}","[3, 9]","[12, 38]","[12, 38]"
