,graph_name,imp_failed,paper_fail,answers_match,Z_sols_match,improved_time,imp_time,paper_time,time_difference,imp_obj,paper_obj,imp_X_sol,paper_X_sol,imp_Y_sol,paper_Y_sol,imp_Z_sol,paper_Z_sol
001,rndgraph11-40_1-1-1_001,False,no,yes,True,True,0.724,1.048,-0.324,5,5,{26},[26],{11},[11],[15],[15]
002,rndgraph11-40_1-1-1_002,False,no,yes,True,True,0.377,2.097,-1.72,4,4,{10},[10],{1},[37],[29],[29]
003,rndgraph11-40_1-1-1_003,False,no,yes,True,True,0.348,0.907,-0.559,3,3,{13},[6],{2},[34],[1],[1]
004,rndgraph11-40_1-1-1_004,False,no,yes,False,True,0.337,0.474,-0.137,4,4,{28},[10],{40},[39],[31],[4]
005,rndgraph11-40_1-1-1_005,False,no,yes,True,True,0.213,0.471,-0.258,4,4,{9},[22],{1},[38],[19],[19]
006,rndgraph11-40_1-1-1_006,False,no,yes,False,True,0.465,0.811,-0.346,4,4,{12},[9],{1},[1],[39],[21]
007,rndgraph11-40_1-1-1_007,False,no,yes,True,True,0.408,0.417,-0.009,4,4,{15},[18],{1},[12],[33],[33]
008,rndgraph11-40_1-1-1_008,False,no,yes,True,True,1.566,2.211,-0.645,4,4,{18},[18],{34},[34],[9],[9]
009,rndgraph11-40_1-1-1_009,False,no,yes,False,True,0.754,1.382,-0.628,4,4,{4},[4],{17},[5],[5],[17]
010,rndgraph11-40_1-1-1_010,False,no,yes,False,True,0.7,1.746,-1.046,4,4,{11},[4],{22},[16],[16],[22]
011,rndgraph11-40_1-1-1_011,False,no,yes,False,True,1.627,3.353,-1.726,3,3,{24},[4],{18},[39],[39],[18]
012,rndgraph11-40_1-1-1_012,False,no,yes,False,True,2.177,3.444,-1.267,4,4,{37},[30],{2},[28],[35],[18]
013,rndgraph11-40_1-1-1_013,False,no,yes,False,True,0.253,0.484,-0.231,5,5,{13},[23],{1},[22],[23],[13]
014,rndgraph11-40_1-1-1_014,False,no,yes,True,True,0.648,0.756,-0.108,4,4,{28},[25],{1},[9],[40],[40]
015,rndgraph11-40_1-1-1_015,False,no,yes,True,True,0.446,0.596,-0.15,4,4,{16},[1],{1},[40],[17],[17]
016,rndgraph11-40_1-1-1_016,False,no,yes,False,True,0.624,1.305,-0.681,4,4,{4},[23],{1},[6],[23],[4]
017,rndgraph11-40_1-1-1_017,False,no,yes,True,True,0.858,1.723,-0.865,3,3,{1},[1],{18},[18],[28],[28]
018,rndgraph11-40_1-1-1_018,False,no,yes,True,True,0.23,0.898,-0.668,5,5,{29},[29],{40},[19],[23],[23]
019,rndgraph11-40_1-1-1_019,False,no,yes,True,True,0.423,1.014,-0.591,3,3,{6},[5],{1},[10],[22],[22]
020,rndgraph11-40_1-1-1_020,False,no,NO,True,True,0.672,1.445,-0.773,5,3,{39},[39],{13},[13],[10],[10]
