,graph name,og fail,v2 fail,sols match,v2 faster,og time,v2 time,time diff,og obj,v2 obj,og X,v2 X,og Y,v2 Y,og Z,v2 Z
001,rndgraph07-40_1-1-1,False,False,True,True,1.27,0.87,-0.4,11,11.0,[40],{40},[13],{13},[15],{15}
002,rndgraph07-40_1-1-1,False,False,True,False,0.528,0.66,0.132,7,7.0,[22],{22},[14],{1},[38],{38}
003,rndgraph07-40_1-1-1,False,False,True,True,0.634,0.16,-0.474,9,9.0,[3],{3},[1],{2},[2],{1}
004,rndgraph07-40_1-1-1,False,False,True,True,0.534,0.35,-0.18400000000000005,10,10.0,[1],{34},[15],{1},[32],{32}
005,rndgraph07-40_1-1-1,False,False,True,True,0.78,0.17,-0.61,8,8.0,[15],{15},[29],{1},[7],{7}
006,rndgraph07-40_1-1-1,False,False,True,False,0.78,0.81,0.030000000000000027,9,9.0,[21],{25},[38],{37},[37],{38}
007,rndgraph07-40_1-1-1,False,False,True,True,1.09,0.5,-0.5900000000000001,11,11.0,[8],{8},[28],{28},[24],{24}
008,rndgraph07-40_1-1-1,False,False,True,True,0.971,0.63,-0.34099999999999997,10,10.0,[40],{3},[7],{1},[3],{40}
009,rndgraph07-40_1-1-1,False,False,True,True,1.179,0.49,-0.6890000000000001,10,10.0,[39],{34},[11],{29},[29],{11}
010,rndgraph07-40_1-1-1,False,False,True,True,1.941,1.49,-0.45100000000000007,8,8.0,[23],{29},[4],{28},[40],{12}
011,rndgraph07-40_1-1-1,False,False,True,True,1.008,0.34,-0.6679999999999999,8,8.0,[7],{7},[35],{35},[2],{2}
012,rndgraph07-40_1-1-1,False,False,True,False,0.584,0.59,0.006000000000000005,10,10.0,[29],{37},[10],{10},[33],{33}
013,rndgraph07-40_1-1-1,False,False,False,True,1.115,0.43,-0.685,8,8.999999999999986,[2],{2},[24],{24},[34],{34}
014,rndgraph07-40_1-1-1,False,False,True,True,0.754,0.45,-0.304,8,8.0,[38],{12},[1],{10},[10],{1}
015,rndgraph07-40_1-1-1,False,False,True,False,0.436,0.49,0.05399999999999999,13,13.0,[19],{19},[14],{14},[9],{9}
016,rndgraph07-40_1-1-1,False,False,True,True,0.769,0.5,-0.269,10,10.0,[39],{39},[29],{29},[30],{30}
017,rndgraph07-40_1-1-1,False,False,True,True,1.063,0.48,-0.583,9,9.0,[2],{2},[3],{3},[37],{37}
018,rndgraph07-40_1-1-1,False,False,True,True,1.123,0.78,-0.34299999999999997,7,7.0,[25],{35},[13],{33},[21],{26}
019,rndgraph07-40_1-1-1,False,False,True,True,0.493,0.33,-0.16299999999999998,10,10.0,[17],{17},[21],{1},[28],{28}
020,rndgraph07-40_1-1-1,False,False,True,True,2.598,1.38,-1.218,8,8.0,[24],{10},[1],{15},[5],{28}
