,graph name,og fail,v2 time,v2 obj,v2 X,v2 Y,sols match,v2 faster,og time,time diff,og obj,og X,og Y,og Z,v2 Z
001,rndgraph10-40_1-1-1,False,0.38,5.0,{22},{38},True,True,1.305,-0.9249999999999999,5,[22],[38],[2],{2}
002,rndgraph10-40_1-1-1,False,0.21,4.0,{5},{1},True,True,1.283,-1.073,4,[35],[29],[5],{19}
003,rndgraph10-40_1-1-1,False,0.5,5.0,{36},{22},True,True,1.163,-0.663,5,[3],[37],[22],{37}
004,rndgraph10-40_1-1-1,False,0.31,5.0,{6},{1},True,True,0.554,-0.24400000000000005,5,[6],[14],[19],{5}
005,rndgraph10-40_1-1-1,False,0.16,5.0,{3},{1},True,True,0.635,-0.475,5,[3],[29],[2],{2}
006,rndgraph10-40_1-1-1,False,0.56,5.0,{3},{1},True,True,1.095,-0.5349999999999999,5,[25],[24],[16],{25}
007,rndgraph10-40_1-1-1,False,0.57,6.0,{24},{18},True,True,1.472,-0.902,6,[7],[35],[18],{35}
008,rndgraph10-40_1-1-1,False,0.65,4.0,{18},{1},True,False,0.461,0.189,4,[3],[15],[18],{3}
009,rndgraph10-40_1-1-1,False,0.16,5.0,{5},{2},True,True,0.774,-0.614,5,[5],[25],[1],{1}
010,rndgraph10-40_1-1-1,False,0.55,5.0,{13},{10},True,True,1.36,-0.81,5,[1],[17],[40],{12}
011,rndgraph10-40_1-1-1,False,0.32,4.0,{20},{1},True,True,1.771,-1.4509999999999998,4,[21],[5],[7],{7}
012,rndgraph10-40_1-1-1,False,5.11,4.0,{5},{20},True,False,5.055,0.055000000000000604,4,[2],[24],[22],{11}
013,rndgraph10-40_1-1-1,False,0.21,4.0,{14},{1},True,True,0.417,-0.207,4,[14],[10],[30],{33}
014,rndgraph10-40_1-1-1,False,0.22,5.0,{38},{40},True,True,0.449,-0.229,5,[23],[24],[36],{25}
015,rndgraph10-40_1-1-1,False,0.81,5.0,{1},{18},True,True,1.275,-0.46499999999999986,5,[38],[23],[18],{23}
016,rndgraph10-40_1-1-1,False,2.11,4.0,{24},{18},True,True,2.918,-0.8080000000000003,4,[24],[18],[26],{26}
017,rndgraph10-40_1-1-1,False,1.18,4.0,{1},{28},True,True,2.994,-1.8140000000000003,4,[1],[36],[28],{36}
018,rndgraph10-40_1-1-1,False,2.03,4.0,{16},{19},True,True,3.173,-1.1430000000000002,4,[19],[16],[28],{4}
019,rndgraph10-40_1-1-1,False,0.56,4.0,{6},{7},True,True,0.848,-0.2879999999999999,4,[5],[33],[7],{33}
020,rndgraph10-40_1-1-1,False,0.73,5.0,{27},{1},True,True,1.986,-1.256,5,[10],[27],[40],{40}
